,notebook_name,notebook_brand,notebook_model,product_code,price,currency,cpu_brand,cpu_gen,cpu_tech,cpu_no,cpu_speed,cpu_cores,ram_capacity,ram_type,ram_speed,monitor_size,monitor_hz,monitor_resolution,monitor_type,gpu_brand,gpu_chipset,disc_capacity,disc_type,os,weight
54,"
Hp 15-fc0013nt 7.Nesil Ryzen 5 7520U-8Gb-512Gb Ssd-15.6inc-W11
",HP,15-FC0013NT,7Q9K4EA,18.411,TL,AMD,None,Ryzen™ 5,7520U,2.8 GHz Turbo Boost 4.3 GHz,4,8 GB,LPDDR5,None,15.6 inch,60 Hz,1920 x 1080,Full HD,AMD,AMD Radeon Graphics,512 GB,NVMe SSD,Windows 11 Home 64,1.6 Kg.
55,"
Asus Vivobook Pro 15 Oled 13.Nesil Core i5 13500H-RTX4050 6Gb-16Gb-512Ssd-15-W11
",ASUS,Vivobook Pro 15,K6502VU-MA064W,51.114,TL,Intel,Intel 13.Nesil,Core i5,13500H,Turbo Boost 4.7 GHz,12,16 GB (2x8GB),DDR5,None,15.6 inch,120 Hz,2880 x 1620,OLED,NVIDIA,Rtx 4050,512 GB,NVMe SSD,Windows 11 Home 64,1.8 Kg.
56,"
Casper Excalibur 12.Nesil Core i5 12450H-RTX4060 8Gb-16Gb-1Tb Ssd-15.6inc-W11
",CASPER,Excalibur,G870.1245-BQB0P-B,40.999,TL,Intel,12. Nesil,Core i5,12450H,Turbo Boost 4.4 GHz,8,16 GB,DDR4,3200 MHz,15.6 inch,144 Hz,1920 x 1080,IPS,NVIDIA,RTX 4060,1 TB,NVMe SSD,Windows 11 Home 64,2.5 Kg.
57,"
Casper Excalibur 12.Nesil Core i7 12650H-RTX4050 6Gb-16Gb-1Tb Ssd-15.6inc-W11
",CASPER,G870.1265-BFA0A-B,G870.1265-BFA0A-B,42.999,TL,Intel,12. Nesil,Core i7,12650H,Turbo Boost 4.7 GHz,10,16 GB,DDR4,3200 MHz,15.6 inch,144 Hz,1920 x 1080,IPS,NVIDIA,Rtx 4050,1 TB,NVMe SSD,Windows 11 Home 64,2.5 Kg.
58,"
Asus Rog Strix G16 13.Nesil Core i7 13650HX-RTX4050 6Gb-16Gb-512Gb-16inc-W11
",ASUS,Rog Strix G16,G614JU-N3110W-Gaming,58.279,TL,Intel,13. Nesil,Core i7,13650HX,Turbo Boost 4.9 GHz,14,16 GB (2x8GB),DDR5,4800 MHz,16 inch,165 Hz,1920 x 1200,Full HD,NVIDIA,Rtx 4050,512 GB,NVMe SSD,Windows 11 Home 64,2.5 Kg.
59,"
Asus Tuf Gaming A15 7.Nesil Ryzen 7 7735HS-RTX4050 6Gb-8Gb-512Gb Ssd-15.6inc-W11
",ASUS,FA507NU-LP030W-Gaming,FA507NU-LP030W-Gaming,37.699,TL,AMD,7. Nesil,Ryzen™ 7,7735HS,Turbo Boost 4.7 GHz,8,8 GB,DDR5,4800 MHz,15.6 inch,144 Hz,1920 x 1080,Anti-Glare,NVIDIA,Rtx 4050,512 GB,NVMe SSD,Windows 11 Home 64,2.2 Kg.
60,"
Asus Zenbook 14 Evo Ux3402 13.Nesil Core i7 1360P-16Gb-1Tb Ssd-14inc-W11
",ASUS,Zenbook 14 Evo,UX3402VA-KP337W,46.510,TL,Intel,13. Nesil,Core i7,1360P,Turbo Boost 5.0 GHz,12,16 GB,LPDDR5,None,14 inch,60 Hz,2560 x 1600,LED,Intel,Intel® Iris Xe Graphics,1 TB,NVMe SSD,Windows 11 Home 64,1.35 Kg.
61,"
MacBook Air MLXY3TU/A M2 8Gb-256Gb Ssd-Liquid Retina-13.6inc-Gümüş
",APPLE,MLXY3TU/A,MLXY3TU/A,37.999,TL,Apple,None,M2,Paylaşılmıyor,Paylaşılmıyor,8,8 GB,Birleşik Bellek,None,13.6 inch,None,2560 x 1664,Full HD,APPLE,Paylaşılmıyor,256 GB,SSD,macOS Monterey,1.24 Kg.
62,"
Acer Nitro V 15 13.Nesil Core i5 13420H-RTX4050 6Gb-8Gb-1Tb Ssd-15-6inc-FreeDos
",ACER,Nitro V,ANV15-51-50SY,30.999,TL,Intel,13. Nesil,Core i5,13420H,Turbo Boost 4.6 GHz,8,8 GB,DDR5,None,15.6 inch,None,1920 x 1080,IPS,NVIDIA,Rtx 4050,1 TB,SSD,FreeDOS,2.5 Kg.
63,"
Asus Rog Strix G15 6.Nesil Ryzen 7 6800H-RTX3050 4Gb-16Gb-512Gb Ssd-15.6inc-W11
",ASUS,G513RC-HN219W-Gaming,G513RC-HN219W-Gaming,40.591,TL,AMD,6. Nesil,Ryzen™ 7,6800H,Turbo Boost 4.7 GHz,8,16 GB,DDR5,None,15.6 inch,144 Hz,1920 x 1080,Full HD,NVIDIA,RTX 3050,512 GB,NVMe SSD,Windows 11 Home 64,2.1 Kg.
64,"
Msi Thin 15 12.Nesil Core i5 12450H-RTX4050 6Gb-16Gb-512Gb Ssd-15.6inc-W11
",MSI,Thin 15,THIN 15 B12VE-1627TR,34.999,TL,Intel,12. Nesil,Core i5,12450H,Turbo Boost 4.4 GHz,8,16 GB (2x8GB),DDR4,3200 MHz,15.6 inch,144 Hz,1920 x 1080,Full HD,NVIDIA,Rtx 4050,512 GB,NVMe SSD,Windows 11 Home 64,1.86 Kg.
65,"
Asus Vivobook 15 M1502 7.Nesil Ryzen 5 7530U-8Gb-512Gb Ssd-15.6inc-W11
",ASUS,Vivobook 15,M1502YA-NJ022W,19.614,TL,AMD,7. Nesil,Ryzen™ 5,7530U,Turbo Boost 4.2 GHz,6,8 GB,DDR4,None,15.6 inch,60 Hz,1920 x 1080,Anti-Glare,AMD,AMD Radeon Graphics,512 GB,NVMe SSD,Windows 11 Home 64,1.7 Kg.
66,"
Huawei Matebook D16 12.Nesil Core i5 12450H-16Gb-512Gb Ssd-16inc-W11
",HUAWEI,Matebook D16,53013DFR,27.299,TL,Intel,Intel 12.Nesil,Core i5,12450H,Turbo Boost 4.4 GHz,8,16 GB,LPDDR4X,None,16 inch,None,1920 x 1200,IPS,Intel,Intel UHD Graphics,512 GB,SSD,Windows 11 Home 64,1.7 Kg.
67,"
Lenovo Ip Gaming 3 12.Nesil Core i5 12500H-RTX3060 6Gb-16Gb-512 Ssd-16inç-W11
",LENOVO,82SA00H5TX,82SA00H5TX,50.999,TL,Intel,12. Nesil,Core i5,12500H,Turbo Boost 4.5 GHz,12,16 GB,DDR4,3200 MHz,16 inch,165 Hz,1920 x 1200,WUXGA,NVIDIA,RTX 3060,512 GB,NVMe SSD,Windows 11 Home 64,2.6 Kg.
68,"
MacBook Air MLY33TU/A M2 8Gb-256Gb Ssd-Liquid Retina-13.6inc-Gece Yarısı
",APPLE,MLY33TU/A,MLY33TU/A,38.999,TL,Apple,None,M2,Paylaşılmıyor,Paylaşılmıyor,8,8 GB,Birleşik Bellek,None,13.6 inch,None,2560 x 1664,IPS,APPLE,Paylaşılmıyor,256 GB,SSD,macOS Monterey,1.24 Kg.
69,"
MacBook Pro MRX53TU/A M3 Max 36Gb-1Tb Ssd-Liquid Retina-14inc-Uzay Siyahı
",APPLE,MacBook Pro M3 Pro,MRX53TU/A,132.499,TL,Apple,None,M3 Max,Paylaşılmıyor,Paylaşılmıyor,14,36 GB,Birleşik Bellek,None,14.2 inch,60 Hz,3024 x 1964,Retina,APPLE,None,1 TB,SSD,Mac OS,1.62 Kg.
70,"
MacBook Air MLY13TU/A M2 8Gb-256Gb Ssd-Liquid Retina-13.6inc-Yıldız ışığı
",APPLE,MLY13TU/A,MLY13TU/A,38.999,TL,Apple,None,M2,Paylaşılmıyor,Paylaşılmıyor,8,8 GB,Birleşik Bellek,None,13.6 inch,None,2560 x 1664,IPS,APPLE,Paylaşılmıyor,256 GB,SSD,macOS Monterey,1.24 Kg.
71,"
Casper Nirvana X600 12.Nesil Core i5 1235U-8Gb-500Gb Ssd-15.6inc-W11
",CASPER,Nirvana X600,X600.1235-8E00T-G-F,18.999,TL,Intel,12. Nesil,Core i5,1235U,Turbo Boost 4.4 GHz,10,8 GB,DDR4,None,15.6 inch,60 Hz,1920 x 1080,IPS,Intel,Intel® Iris Xe Graphics,500 GB,NVMe SSD,Windows 11 Home 64,1.6 Kg.
72,"
Huawei Matebook D16 12.Nesil Core i5 12450H-16Gb-1Tb Ssd-16inc-W11
",HUAWEI,Matebook D16,53013YJH,26.999,TL,Intel,Intel 12.Nesil,Core i5,12450H,Turbo Boost 4.4 GHz,8,16 GB,LPDDR4X,None,16 inch,None,1920 x 1200,IPS,Intel,Intel UHD Graphics,1 TB,SSD,Windows 11 Home 64,1.7 Kg.
73,"
MacBook Air MRYR3TU/A M3 8Gb-256Gb Ssd-Liquid Retina-15.3inc-Starlight
",APPLE,Macbook Air M3,MRYR3TU/A,52.999,TL,Apple,None,M3,Paylaşılmıyor,Paylaşılmıyor,8,8 GB,Birleşik Bellek,None,15.3 inch,None,2880 x 1864,IPS,APPLE,Paylaşılmıyor,256 GB,SSD,Mac OS,1.51 Kg.
74,"
Asus Rog Ally Ryzen Z1 Extreme-16Gb Ram-512Gb Ssd-7inc-W11
",ASUS,RC71L-NH001W-Gaming,RC71L-NH001W-Gaming,36.740,TL,AMD,None,Ryzen™ Z1 Extreme,None,Turbo Boost 5.1 GHz,8,16 GB,LPDDR5,None,7 inch,120 Hz,1920 x 1080,Yok,AMD,AMD Radeon Graphics,512 GB,NVMe SSD,Windows 11 Home 64,0.608Kg
75,"
Lenovo Ideapad Flex 5 13.Nesil Core i5 1335U-8Gb-512Gb Ssd-16inc-W11
",LENOVO,Ideapad Flex 5,82Y1003MTX,31.999,TL,Intel,13. Nesil,Core i5,1335U,Turbo Boost 4.6 GHz,10,8 GB,LPDDR4X,4266 MHz,16 inch,None,2560 x 1600,2.5K,Intel,Intel® Iris Xe Graphics,512 GB,NVMe SSD,Windows 11 Home 64,2.1 Kg.
76,"
Casper Nirvana C550 12.Nesil Core i5 1235U-8Gb-500Gb Ssd-15.6inc-W11
",CASPER,Nirvana C550,C550.1235-8E00T-G-F,20.999,TL,Intel,12. Nesil,Core i5,1235U,Turbo Boost 4.4 GHz,10,8 GB,DDR4,3200 MHz,15.6 inch,60 Hz,1920 x 1080,IPS,Intel,Intel UHD Graphics,500 GB,SSD,Windows 11 Home 64,1.8 Kg.
77,"
Asus Vivobook Go 15 7.Nesil Ryzen 3 7320U-8Gb-256Gb Ssd-15.6inc-W11
",ASUS,Vivobook Go 15,E1504FA-NJ072W,15.137,TL,AMD,7. Nesil,Ryzen™ 3,7320U,Turbo Boost 4.1 GHz,4,8 GB,LPDDR5,None,15.6 inch,60 Hz,1920 x 1080,LED,AMD,Radeon,256 GB,NVMe SSD,Windows 11 Home 64,1.65 Kg.
78,"
Hometech Alfa 620C Celeron N4020-4Gb-128Gb Emmc-14inc-W11
",HOMETECH,Alfa 620,31.8054,6.999,TL,Intel,None,Celeron,N4020,1.1 GHz Turbo Boost 2.8 GHz,2,4 GB,SDRAM,None,14 inch,None,1366 x 768,HD,Intel,Intel UHD Graphics 600,128 GB,eMMC,Windows 11 Home 64,Belirtilmemiş.
79,"
Acer Nitro 5 12.Nesil Core i5 12500H-RTX4050 6Gb-8Gb-512Gb Ssd-15.6inc-W11
",ACER,Nitro 5,AN515-58-51B4,34.999,TL,Intel,Intel 12.Nesil,Core i5,12500H,Turbo Boost 4.5 GHz,12,8 GB,DDR5,None,15.6 inch,None,1920 x 1080,LED,NVIDIA,Rtx 4050,512 GB,SSD,Windows 11 Home 64,2.5 Kg.
80,"
Casper Excalibur 13.Nesil Core i9 13900HX-RTX4070 8Gb-32Gb-1Tb Ssd-16inc-W11
",CASPER,Excalibur,G911.1390-DQ70A-C,71.999,TL,Intel,13. Nesil,Core i9,13900HX,Turbo Boost 5.4 GHz,24,32 GB,DDR5,5200 MHz,16 inch,165 Hz,2560 x 1600,IPS,NVIDIA,RTX 4070,1 TB,NVMe SSD,Windows 11 Home 64,2.5 Kg.
81,"
Hp 15-fd0033nt 13.Nesil Core i3 1315U-8Gb-256Gb Ssd-15.6inc-W11
",HP,15-FD0033NT,88T69EA,15.110,TL,Intel,13. Nesil,Core i3,1315U,Turbo Boost 4.5 GHz,6,8 GB,DDR4,None,15.6 inch,None,1920 x 1080,LED,Intel,Intel UHD Graphics,256 GB,NVMe SSD,Windows 11 Home 64,1.6 Kg.
82,"
Msi Katana 17 13.Nesil Core i7 13700H-RTX4070 8Gb-32Gb-1Tb Ssd-17.3inc-W11
",MSI,Katana 17,KATANA 17 B13VGK-873TR,75.499,TL,Intel,13. Nesil,Core i7,13700H,Turbo Boost 5.0 GHz,14,32 GB (2x16GB),DDR5,5200 MHz,17.3 inch,144 Hz,1920 x 1080,Full HD,NVIDIA,RTX 4070,1 TB SSD,NVMe SSD,Windows 11 Home 64,2.6 Kg.
83,"
MacBook Air MRXV3TU/A M3 8Gb-256Gb Ssd-Liquid Retina-13.6inc-Midnight
",APPLE,Macbook Air M3,MRXV3TU/A,45.499,TL,Apple,None,M3,Paylaşılmıyor,Paylaşılmıyor,8,8 GB,Birleşik Bellek,None,13.6 inch,None,2560 x 1664,HD,APPLE,Paylaşılmıyor,256 GB,SSD,Mac OS,1.24 Kg.
84,"
Asus Vivobook 15 M1502 7.Nesil Ryzen 7 7730U-8Gb-512Gb Ssd-15.6inc-W11
",ASUS,Vivobook 15,M1502YA-NJ119W,23.530,TL,AMD,7. Nesil,Ryzen™ 7,7730U,Turbo Boost 4.5 GHz,6,8 GB,DDR4,None,15.6 inch,60 Hz,1920 x 1080,Anti-Glare,AMD,AMD Radeon Graphics,512 GB,NVMe SSD,Windows 11 Home 64,1.7 Kg.
85,"
Casper Excalibur 13.Nesil Core i7 13700HX-RTX4060 8Gb-32Gb-1Tb Ssd-16inc-W11
",CASPER,G911.1370-DQB0A-C,G911.1370-DQB0A-C,55.999,TL,Intel,13. Nesil,Core i7,13700HX,Turbo Boost 5.0 GHz,8,32 GB,DDR5,None,16 inch,165 Hz,2560 x 1600,Full HD,NVIDIA,RTX 4060,1 TB,NVMe SSD,Windows 11 Home 64,2.5 Kg.
86,"
Hp Victus 16-r0005nt 13.Nesil Core i7 13700H-RTX4070 8Gb-16Gb-512Ssd-16.1inc-W11
",HP,Victus 16-r0005nt,7P6B2EA,61.359,TL,Intel,13. Nesil,Core i7,13700H,Turbo Boost 5.0 GHz,14,16 GB (2x8GB),DDR5,5200 MHz,16.1 inch,144 Hz,1920 x 1080,IPS,NVIDIA,RTX 4070,512 GB,NVMe SSD,Windows 11 Home 64,2.34 Kg.
87,"
Asus Vivobook 15 12.Nesil Core i5 1235U-8Gb-512Gb Ssd-15.6inc-W11
",ASUS,Vivobook 15,X1502ZA-EJ031W,20.690,TL,Intel,12. Nesil,Core i5,1235U,Turbo Boost 4.4 GHz,10,8 GB,DDR4,None,15.6 inch,None,1920 x 1080,LED,Intel,Intel UHD Graphics,512 GB,NVMe SSD,Windows 11 Home 64,1.7 Kg.
88,"
MacBook Air MRXN3TU/A M3 8Gb-256Gb Ssd-Liquid Retina-13.6inc-Space Grey
",APPLE,Macbook Air M3,MRXN3TU/A,45.499,TL,Apple,None,M3,Paylaşılmıyor,Paylaşılmıyor,8,8 GB,Birleşik Bellek,None,13.6 inch,None,2560 x 1664,HD,APPLE,Paylaşılmıyor,256 GB,SSD,Mac OS,1.24 Kg.
89,"
MacBook Pro MRX73TU/A M3 Pro 18Gb-1Tb Ssd-Liquid Retina-14inc-Gümüş
",APPLE,MacBook Pro M3 Pro,MRX73TU/A,101.499,TL,Apple,None,M3 Pro,Paylaşılmıyor,Paylaşılmıyor,12,18 GB,Birleşik Bellek,None,14.2 inch,60 Hz,3024 x 1964,Retina,APPLE,None,1 TB,SSD,Mac OS,1.61 Kg.
90,"
Dell G15 5530 13.Nesil Core i9 13900HX-RTX4060 8Gb-32Gb-1Tb Ssd-15.6inc-W11
",DELL,G15 5530,G15-5530-9138GW321,69.637,TL,Intel,13. Nesil,Core i9,13900HX,Turbo Boost 5.4 GHz,24,32 GB (2x16GB),DDR5,4800 MHz,15.6 inch,165 Hz,1920 x 1080,Full HD,NVIDIA,RTX 4060,1 TB,NVMe SSD,Windows 11 Home 64,2.81 Kg.
91,"
Asus Tuf Gaming F15 12.Nesil Core i5 12500H-RTX3050 4Gb-8Gb-512Gb Ssd-15.6-W11
",ASUS,Tuf Gaming F15,FX507ZC4-HN081W-Gaming,27.099,TL,Intel,12. Nesil,Core i5,12500H,Turbo Boost 4.5 GHz,12,8 GB,DDR4,3200 MHz,15.6 inch,144 Hz,1920 x 1080,Anti-Glare,NVIDIA,RTX 3050,512 GB,NVMe SSD,Windows 11 Home 64,2.2 Kg.
92,"
MacBook Air MQKP3TU/A M2 8Gb-256Gb Ssd-Liquid Retina-15.3inc-Uzay Grisi
",APPLE,MacBook Air,MQKP3TU/A,44.499,TL,Apple,None,M2,Paylaşılmıyor,Paylaşılmıyor,8,8 GB,Birleşik Bellek,None,15.3 inch,None,2880 x 1864,Full HD,APPLE,Paylaşılmıyor,256 GB,SSD,macOS Ventura,1.51 Kg.
93,"
Huawei Matebook D15 11.Nesil Core i5 1155G7-8Gb-256Gb Ssd-15.6inc-W11
",HUAWEI,Matebook D15,53013PMR,18.999,TL,Intel,11. Nesil,Core i5,1155G7,2.5 GHz Turbo Boost 4.5 GHz,4,8 GB,LPDDR4X,None,15.6 inch,None,1920 x 1080,IPS,Intel,Intel® Iris Xe Graphics,256 GB,SSD,Windows 11 Home 64,1.56 Kg.
94,"
MacBook Pro MR7J3TU/A M3 8Gb-512Gb Ssd-Liquid Retina-14inc-Gümüş
",APPLE,MacBook Pro M3,MR7J3TU/A,58.999,TL,Apple,None,M3,Paylaşılmıyor,Paylaşılmıyor,8,8 GB,Birleşik Bellek,None,14.2 inch,60 Hz,3024 x 1964,Retina,APPLE,None,512 GB,SSD,Mac OS,1.55 Kg.
95,"
MacBook Pro MRX43TU/A M3 Pro 18Gb-1Tb Ssd-Liquid Retina-14inc-Uzay Siyahı
",APPLE,MacBook Pro M3 Pro,MRX43TU/A,101.499,TL,Apple,None,M3 Pro,Paylaşılmıyor,Paylaşılmıyor,12,18 GB,Birleşik Bellek,None,14.2 inch,60 Hz,3024 x 1964,Retina,APPLE,None,1 TB,SSD,Mac OS,1.61 Kg.
96,"
Hp Omen 16-xf0003nt 7.Nesil Ryzen 7 7840HS-RTX4070 8GB-32Gb-1Tb-16.1inc-W11
",HP,Omen,8X174EA,66.106,TL,AMD,7. Nesil,Ryzen™ 7,7840HS,Turbo Boost 5.1 GHz,8,32 GB (2x16GB),DDR5,5600 MHz,16.1 inch,165 Hz,1920 x 1080,Full HD,NVIDIA,RTX 4070,1 TB,NVMe SSD,Windows 11 Home 64,2.4 Kg.
97,"
Casper Excalibur 12.Nesil Core i5 12450H-RTX4050 6Gb-16Gb-500Gb Ssd-15.6inc-W11
",CASPER,Excalibur,G870.1245-BVA0P-B,34.999,TL,Intel,12. Nesil,Core i5,12450H,Turbo Boost 4.4 GHz,8,16 GB,DDR4,3200 MHz,15.6 inch,144 Hz,1920 x 1080,IPS,NVIDIA,Rtx 4050,500 GB,NVMe SSD,Windows 11 Home 64,2.5 Kg.
98,"
Lenovo Ideapad Flex 5 12.Nesil Core i5 1235U-8Gb-512Gb Ssd-16inc-W11
",LENOVO,Ideapad Flex 5,82R8009RTX,31.999,TL,Intel,12. Nesil,Core i5,1235U,Turbo Boost 4.4 GHz,10,8 GB,DDR4,4266 MHz,16 inch,None,2560 x 1600,Full HD,Intel,Intel® Iris Xe Graphics,512 GB,NVMe SSD,Windows 11 Home 64,2.1 Kg.
99,"
Huawei Matebook D15 5.Nesil Ryzen 7 5700U-16Gb-512Gb Ssd-15.6inc-W11
",HUAWEI,Matebook D15,53013SKV,18.997,TL,AMD,5. Nesil,Ryzen™ 7,5700U,1.8 GHz Turbo Boost 4.3 GHz,8,16 GB,DDR4,None,15.6 inch,None,1920 x 1080,IPS,AMD,AMD Radeon Graphics,512 GB,NVMe SSD,Windows 11 Home 64,1.56 Kg.
100,"
Hp Omen 16-n0000nt 6.Nesil Ryzen 9 6900HX-RTX3070TI 8GB-32Gb-1Tb-16.1inc-W11
",HP,793K5EA,793K5EA,75.219,TL,AMD,6. Nesil,Ryzen™ 9,6900HX,Turbo Boost 4.9 GHz,8,32 GB (2x16GB),DDR5,4800 MHz,16.1 inch,165 Hz,2560 x 1440,QHD,NVIDIA,RTX 3070Ti,1 TB,NVMe SSD,Windows 11 Home 64,2.46 Kg.
101,"
Msi Thin Gf63 12.Nesil Core i5 12450H-RTX2050 4Gb-8Gb-512Gb Ssd-15.6inc-W11
",MSI,Thin GF63,THIN GF63 12UCX-1202TR,23.699,TL,Intel,12. Nesil,Core i5,12450H,Turbo Boost 4.4 GHz,8,8 GB (1x8GB),DDR4,3200 MHz,15.6 inch,144 Hz,1920 x 1080,Full HD,NVIDIA,RTX 2050,512 GB,NVMe SSD,Windows 11 Home 64,1.86 Kg.
102,"
Lenovo Ideapad Düet 5 12.Nesil Core i7 1255U-16Gb-512Gb Ssd-12.4inc-W11
",LENOVO,Ideapad Düet 5,82TQ0042TX,47.999,TL,Intel,12. Nesil,Core i7,1255U,Turbo Boost 4.7 GHz,10,16 GB,LPDDR4X,4266 MHz,12.4 inch,None,2560 x 1600,Full HD,Intel,Intel® Iris Xe Graphics,512 GB,NVMe SSD,Windows 11 Home 64,1.2 Kg.
103,"
MacBook Pro MTL83TU/A M3 8Gb-1Tb Ssd-Liquid Retina-14inc-Uzay Grisi
",APPLE,MacBook Pro M3,MTL83TU/A,64.599,TL,Apple,None,M3,Paylaşılmıyor,Paylaşılmıyor,8,8 GB,Birleşik Bellek,None,14.2 inch,60 Hz,3024 x 1964,Retina,APPLE,None,1 TB,SSD,Mac OS,1.55 Kg.
104,"
Casper Excalibur 12.Nesil Core i7 12650H-RTX4050 6Gb-16Gb-1Tb Ssd-15.6inc-W11
",CASPER,Excalibur,G870.1265-BQA0A-B,41.999,TL,Intel,12. Nesil,Core i7,12650H,Turbo Boost 4.7 GHz,10,16 GB,DDR4,3200 MHz,15.6 inch,144 Hz,1920 x 1080,IPS,NVIDIA,Rtx 4050,1 TB,NVMe SSD,Windows 11 Home 64,2.5 Kg.
105,"
Casper Excalibur 12.Nesil Core i5 12450H-RTX4050 6Gb-16Gb-1Tb Ssd-15.6inc-W11
",CASPER,G870.1245-BQA0P-B,G870.1245-BQA0P-B,37.499,TL,Intel,12. Nesil,Core i5,12450H,Turbo Boost 4.4 GHz,8,16 GB,DDR4,3200 MHz,15.6 inch,144 Hz,1920 x 1080,IPS,NVIDIA,Rtx 4050,1 TB,NVMe SSD,Windows 11 Home 64,2.5 Kg.
106,"
Hp Victus 16-e0050nt 5.Nesil Ryzen 7 5800H-RTX3060 6Gb-16Gb-512Gb-16.1inc-W11
",HP,54S71EA,54S71EA,46.076,TL,AMD,5. Nesil,Ryzen™ 7,5800H,Turbo Boost 4.4 GHz,8,16 GB (2x8GB),DDR4,3200 MHz,16.1 inch,144 Hz,1920 x 1080,Full HD,NVIDIA,RTX 3060,512 GB,NVMe SSD,Windows 11 Home 64,Belirtilmemiş.
107,"
Msi Thin GF63 12.Nesil Core i7 12650H-RTX4050 6GB-16GB-512Gb Ssd-15.6inc-FreeDos
",MSI,Thin GF63,THIN GF63 12VE-099XTR,38.999,TL,Intel,12. Nesil,Core i7,12650H,Turbo Boost 4.7 GHz,10,16 GB (2x8GB),DDR4,3200 MHz,15.6 inch,144 Hz,1920 x 1080,Full HD,NVIDIA,Rtx 4050,512 GB,NVMe SSD,FreeDOS,1.86 Kg.
108,"
Casper Excalibur 12.Nesil Core i7 12650H-RTX4060 8Gb-16Gb-1Tb Ssd-15.6inc-W11
",CASPER,Excalibur,G870.1265-BQB0A-B,45.999,TL,Intel,12. Nesil,Core i7,12650H,Turbo Boost 4.7 GHz,10,16 GB,DDR4,3200 MHz,15.6 inch,144 Hz,1920 x 1080,IPS,NVIDIA,RTX 4060,1 TB,NVMe SSD,Windows 11 Home 64,2.5 Kg.
